origin,Near Car Park,Distance(km),Time(mins)
污水處理站停車場,塔石廣場地下上落客區(重型客車),2375,541
污水處理站停車場,栢港停車場,7561,842
污水處理站停車場,永寧街停車場,2553,299
污水處理站停車場,下環街市停車場,9247,903
污水處理站停車場,李加祿街停車場,9295,881
污水處理站停車場,台暉樓停車場,2839,505
污水處理站停車場,氹仔客運碼頭停車場,7442,807
污水處理站停車場,氹仔中央公園停車場,9130,1183
污水處理站停車場,交通事務局大樓停車場,2000,543
污水處理站停車場,日昇樓停車場,8076,889
污水處理站停車場,日暉大廈停車場,8085,889
污水處理站停車場,宋玉生廣場停車場,3541,629
污水處理站停車場,何賢公園停車場,2988,837
污水處理站停車場,快富樓停車場,5091,890
污水處理站停車場,快達樓停車場,2333,416
污水處理站停車場,快盈大廈停車場,3057,447
污水處理站停車場,和諧廣場停車場,12038,1351
污水處理站停車場,亞馬喇前地停車場,4983,769
污水處理站停車場,居雅大廈停車場,12707,1279
污水處理站停車場,沙梨頭街市市政綜合大樓停車場,5333,947
污水處理站停車場,河邊新街停車場,7892,787
污水處理站停車場,青葱大廈停車場,3190,513
污水處理站停車場,青翠樓停車場,14178,1108
污水處理站停車場,青濤大廈停車場,5015,769
污水處理站停車場,青泉樓停車場,13823,1095
污水處理站停車場,青怡大廈停車場,5289,813
污水處理站停車場,青茂口岸停車場,3234,513
污水處理站停車場,青洲坊大廈停車場,2913,526
污水處理站停車場,松樹尾停車場,9073,1051
污水處理站停車場,栢麗停車場,2892,436
污水處理站停車場,栢威停車場,2591,577
污水處理站停車場,栢景停車場,1975,617
污水處理站停車場,栢力停車場,2032,597
污水處理站停車場,栢佳停車場,3521,812
污水處理站停車場,栢寧停車場,3737,864
污水處理站停車場,南灣(栢湖)停車場,3511,812
污水處理站停車場,栢濤停車場,4056,997
污水處理站停車場,栢樂停車場,4020,676
污水處理站停車場,栢蕙停車場,2864,413
污水處理站停車場,馬六甲街停車場,2184,612
污水處理站停車場,祐漢公園停車場,1986,292
污水處理站停車場,黑橋街停車場,8922,1028
污水處理站停車場,港珠澳大橋邊檢大樓西停車場,1984,437
污水處理站停車場,港珠澳大橋邊檢大樓東停車場,3685,571
污水處理站停車場,海灣南街停車場,2381,421
污水處理站停車場,望德樓停車場,1152,216
污水處理站停車場,望善樓停車場,1406,289
污水處理站停車場,望賢樓停車場,2208,420
污水處理站停車場,湖畔大廈停車場,8721,1027
污水處理站停車場,華士古達嘉馬花園停車場,2789,659
污水處理站停車場,澳門科學館停車場,3721,523
污水處理站停車場,樂群樓停車場,12821,1284
污水處理站停車場,澳門新批發市場停車場,14300,1104
污水處理站停車場,蝴蝶谷停車場,12201,1360
污水處理站停車場,蓮花路重型汽車停車場,11032,1149
污水處理站停車場,業興大廈停車場,12325,1396
污水處理站停車場,蓮花路停車場,11026,1148
污水處理站停車場,藝園停車場,3841,928
污水處理站停車場,望廈體育中心停車場,1335,285
污水處理站停車場,關閘綜合體育場館停車場,2538,453
污水處理站停車場,麗都停車場,2725,294
塔石廣場地下上落客區(重型客車),污水處理站停車場,3439,862
塔石廣場地下上落客區(重型客車),栢港停車場,9320,1353
塔石廣場地下上落客區(重型客車),永寧街停車場,3296,664
塔石廣場地下上落客區(重型客車),下環街市停車場,11006,1418
塔石廣場地下上落客區(重型客車),李加祿街停車場,11054,1390
塔石廣場地下上落客區(重型客車),台暉樓停車場,4598,997
塔石廣場地下上落客區(重型客車),氹仔客運碼頭停車場,9046,1267
塔石廣場地下上落客區(重型客車),氹仔中央公園停車場,8067,1186
塔石廣場地下上落客區(重型客車),交通事務局大樓停車場,2630,826
塔石廣場地下上落客區(重型客車),日昇樓停車場,7720,1010
塔石廣場地下上落客區(重型客車),日暉大廈停車場,7711,1010
塔石廣場地下上落客區(重型客車),宋玉生廣場停車場,2816,757
塔石廣場地下上落客區(重型客車),何賢公園停車場,3398,1006
塔石廣場地下上落客區(重型客車),快富樓停車場,6850,1314
塔石廣場地下上落客區(重型客車),快達樓停車場,2621,666
塔石廣場地下上落客區(重型客車),快盈大廈停車場,3436,794
塔石廣場地下上落客區(重型客車),和諧廣場停車場,10695,1247
塔石廣場地下上落客區(重型客車),亞馬喇前地停車場,3545,923
塔石廣場地下上落客區(重型客車),居雅大廈停車場,10114,1190
塔石廣場地下上落客區(重型客車),沙梨頭街市市政綜合大樓停車場,7092,1410
塔石廣場地下上落客區(重型客車),河邊新街停車場,9651,1279
塔石廣場地下上落客區(重型客車),青葱大廈停車場,4949,1013
塔石廣場地下上落客區(重型客車),青翠樓停車場,15937,1663
塔石廣場地下上落客區(重型客車),青濤大廈停車場,6774,1281
塔石廣場地下上落客區(重型客車),青泉樓停車場,15582,1638
塔石廣場地下上落客區(重型客車),青怡大廈停車場,7048,1343
塔石廣場地下上落客區(重型客車),青茂口岸停車場,4993,1026
塔石廣場地下上落客區(重型客車),青洲坊大廈停車場,4672,1036
塔石廣場地下上落客區(重型客車),松樹尾停車場,7610,1021
塔石廣場地下上落客區(重型客車),栢麗停車場,3635,760
塔石廣場地下上落客區(重型客車),栢威停車場,934,293
塔石廣場地下上落客區(重型客車),栢景停車場,953,271
塔石廣場地下上落客區(重型客車),栢力停車場,2442,754
塔石廣場地下上落客區(重型客車),栢佳停車場,1864,499
塔石廣場地下上落客區(重型客車),栢寧停車場,2080,549
塔石廣場地下上落客區(重型客車),南灣(栢湖)停車場,1854,485
塔石廣場地下上落客區(重型客車),栢濤停車場,2399,682
塔石廣場地下上落客區(重型客車),栢樂停車場,4413,902
塔石廣場地下上落客區(重型客車),栢蕙停車場,1904,603
塔石廣場地下上落客區(重型客車),馬六甲街停車場,2594,772
塔石廣場地下上落客區(重型客車),祐漢公園停車場,2971,846
塔石廣場地下上落客區(重型客車),黑橋街停車場,7459,1011
塔石廣場地下上落客區(重型客車),港珠澳大橋邊檢大樓西停車場,5363,889
塔石廣場地下上落客區(重型客車),港珠澳大橋邊檢大樓東停車場,7064,1070
塔石廣場地下上落客區(重型客車),海灣南街停車場,2669,681
塔石廣場地下上落客區(重型客車),望德樓停車場,2303,585
塔石廣場地下上落客區(重型客車),望善樓停車場,2134,571
塔石廣場地下上落客區(重型客車),望賢樓停車場,2025,591
塔石廣場地下上落客區(重型客車),湖畔大廈停車場,7459,1014
塔石廣場地下上落客區(重型客車),華士古達嘉馬花園停車場,414,129
塔石廣場地下上落客區(重型客車),澳門科學館停車場,4104,845
塔石廣場地下上落客區(重型客車),樂群樓停車場,10228,1200
塔石廣場地下上落客區(重型客車),澳門新批發市場停車場,16059,1630
